,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
70,We'll Live and Die In These Towns,6XlVOEnkD1QVrUNSz9Y7RO,The Enemy,01ZP85CNi7Y9t1e0one46k,182533,14HIx1zYQLez1NxN9aeRkg,Away From Here,46,0.0755,0.487,0.878,0.0,1,0.138,-4.548,1,0.0318,158.104,0.718
71,Teenager,1CqtO269U2YwnaRG9gUprK,Mona,4AKwIU9B31J3L41DuJfFym,174133,1H1oxYhlfYLmed6dHn03Kk,Teenager,17,0.000438,0.322,0.894,0.0,11,0.108,-4.65,0,0.0666,146.683,0.334
72,Carnavas,5gQ6nJYnackUywgXwmDyDz,Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h,354360,6axAacuCsPeAStu4a2XZA0,Lazy Eye,3,0.0401,0.633,0.831,0.693,4,0.117,-5.053,1,0.0461,127.397,0.243
73,Hate To Say I Told You So,5ZDu3ZYLA9ff11cJrlcsGH,The Hives,4DToQR3aKrHQSSRzSz8Nzt,199733,0dcJ1SsbTmAvC3ZVvUYMIy,Hate To Say I Told You So,4,0.00114,0.447,0.9,0.00596,5,0.47,-6.741,1,0.0578,135.861,0.39
74,Life Sux,4XG9zoLbhc8shGghmCb8eO,Wavves,6bUJpbekaIlq2fT5FMV2mQ,174553,2wg09UvwEDh5zOz08DNbAZ,Bug,32,0.000466,0.202,0.972,0.0235,7,0.576,-3.96,1,0.0794,165.043,0.109
75,Sinners Never Sleep,6qwklyZrZuJ7sQrRjGQAW8,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,222040,1FIWe0EWWE6D8soz2ZsMuM,Bite My Tongue,49,0.00119,0.418,0.824,6.48e-05,2,0.2,-4.089,1,0.0469,143.983,0.382
76,Yuck,3XMiO7Tg1KuEVohFWyU6Xr,Yuck,6l3BRLCpzfC8yxqf9thWAg,214906,1c6dAF03e2zI4IbH9IE7cN,Get Away,0,0.00222,0.473,0.698,0.429,9,0.362,-2.265,1,0.0373,132.982,0.553
77,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,221026,3UD4sghkq8dHUwvKxln1nB,Dead And Gone,55,0.00803,0.638,0.709,1.59e-06,7,0.335,-5.464,0,0.039,143.984,0.913
78,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,194586,0hzBN7DGgtjBsTyZwTTKRS,Mind Eraser,51,0.019,0.557,0.586,0.187,11,0.156,-5.743,0,0.0268,104.636,0.569
79,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,209680,6DnfupwdspmFT2PYRjFH2F,Stop Stop,48,0.00367,0.59,0.808,0.0185,0,0.105,-6.034,1,0.0365,125.669,0.374
80,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,207040,5S7kFUo496CoItemffWQb9,Nova Baby,50,0.0054,0.556,0.702,0.0,4,0.218,-5.792,0,0.0423,132.33,0.452
81,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,225013,2ONpXycQzFmWiutUm7vpIC,Hell Of A Season,49,0.00992,0.594,0.814,0.000447,2,0.577,-6.007,1,0.0391,152.936,0.297
82,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,197000,5HgAZuHFAU5qLLMYuIQkgq,Run Right Back,53,0.03,0.511,0.766,0.00752,2,0.221,-5.445,0,0.0473,79.963,0.632
83,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,205186,5LCuFER5mMzL0fGNpClksf,Sister,52,0.00191,0.757,0.661,5.77e-05,2,0.141,-5.908,1,0.0291,111.64,0.617
84,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,177240,1S8PKtVKvJWwOwfQpQxzWV,Money Maker,52,0.000314,0.503,0.741,0.574,5,0.44,-5.672,1,0.0357,120.998,0.544
85,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,251266,1PXsUXSM3LF2XNSkmIldPb,Little Black Submarines,63,0.161,0.365,0.466,6.68e-06,2,0.106,-7.514,1,0.0418,95.163,0.487
86,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,224333,5lN1EH25gdiqT1SFALMAq1,Gold On The Ceiling,66,0.00772,0.505,0.833,7.9e-05,0,0.069,-4.632,1,0.0475,130.121,0.565
87,El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,193653,5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,68,0.00417,0.356,0.872,0.00975,2,0.0997,-7.837,1,0.068,166.3,0.607
