name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Infarto,0XEJ7eph2IWFYZc73Jm3n2,74,161403,Querosene e o Violão,6gbvsAZViRa9rIq0GjfQbp,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,0.0347,0.602,1,0.173,10,0.613,-4.518,0.277,0.0,0.794,124.743
Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,79,187349,Solteiro Não Trai (Ao Vivo),4c3skW6UyBf6V3pTvpJKhq,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,0.201,0.599,1,0.956,10,0.493,-3.42,0.483,0.0,0.832,157.964
Me Desculpa Jay Z,2BF6mQdYAkLmeRQmX7YyPy,70,212436,Bluesman,0QMVSKhzT4u2DEd8qdlz4I,Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,0.685,0.179,1,0.1,0,0.375,-7.51,0.0817,0.0,0.716,71.18
Te Amo Disgraça,5B4611SCn4puXahrf7rqkj,68,290400,Esú,11KgjDEaT1YjNUphDDTOzc,Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,0.332,0.277,0,0.117,6,0.774,-14.176,0.584,0.0,0.234,100.044
Girassóis de Van Gogh,3baOycIMQ6LRDU9vK5uvSH,65,183925,Bluesman,0QMVSKhzT4u2DEd8qdlz4I,Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,0.0437,0.341,0,0.0901,0,0.686,-6.653,0.0132,1.3e-05,0.618,137.138
Outro Dia,10cGYECUNpFbVCZUMLGP5r,29,232514,Outro Dia,4OpLG18GdHYN3FamTxiP5o,A Banca Records,0Do6bAo2kcVLp7ekzypskJ,0.34,0.353,1,0.103,9,0.842,-10.954,0.305,1.04e-05,0.389,128.099
Café,6i9ToXS6CAfjpp8veBklg1,79,190434,Vitão,1O8LPICWMyVScYtJb3zdJ8,Vitão,06lnOkY99sXVW44Y0M4BDP,0.0979,0.491,1,0.344,11,0.776,-4.788,0.0537,0.0,0.5,92.027
Tá Foda,2iodbBGZvKP6fz5kkAJ8Qx,70,189533,Vitão,1O8LPICWMyVScYtJb3zdJ8,Vitão,06lnOkY99sXVW44Y0M4BDP,0.178,0.635,1,0.045,6,0.631,-6.888,0.0269,0.0,0.58,173.999
Embrasa,4iANxSIDT3kGekiquMSAgT,75,243020,Vitão,1O8LPICWMyVScYtJb3zdJ8,Vitão,06lnOkY99sXVW44Y0M4BDP,0.0889,0.701,1,0.568,0,0.699,-5.714,0.107,0.0,0.531,127.967
Rubi,1YumR6MJyfkoHarpg2oL19,61,207314,Rubi,2lf9zogvZ4DKBWomGkoisi,Andrade,2R5AqLTQob9ojaJVg26TDQ,0.358,0.509,0,0.115,10,0.591,-8.537,0.609,0.0,0.61,99.526
Cafuné,4DhTBCvoemYivBVHkk7RKI,72,262186,Inefable,5AcfM2EiLTrnFxQjpo7mxp,Micro Tdh,1aWJsBQa67l72j1VT3D6Ow,0.482,0.227,1,0.186,10,0.564,-7.759,0.376,0.0,0.699,167.525
Preta de Quebrada,41Cei0m4xfEJ9r6RAn8VoG,55,206947,Preta de Quebrada,78wPZArMRQz1tOHy7qgs5H,Flora Matos,5Znx4PG5UsUitigaJnmZX3,0.752,0.469,0,0.389,4,0.816,-10.492,0.0619,0.0,0.358,154.237
Tem Café,4lNriuYNZD2YP2OPG6xOte,68,262687,Melhor Viagem,692zMw7WtJNTp1jZxGgRq8,Gaab,2iK1rsbYstkSVn57M4s8ut,0.29,0.263,0,0.0774,4,0.694,-10.272,0.0346,0.0,0.506,169.866
Cuidado,0dmw9MBJeUeeEdsFOEbIaC,64,233143,Melhor Viagem,692zMw7WtJNTp1jZxGgRq8,Gaab,2iK1rsbYstkSVn57M4s8ut,0.0602,0.36,0,0.0741,8,0.877,-5.118,0.0125,0.0,0.595,104.998
4 da manhã,5xVJU6DJHnmHnbbKS56yCC,69,216428,4 da manhã,4pbbrNIhUdWxLYmd46lhVl,UM44K,3zhKxZr516VdNDa8v3oft2,0.0387,0.857,0,0.112,2,0.794,-6.993,0.66,0.0,0.474,111.971
LEAL,5cEZdqWwTQbQ5mfiZJpzps,69,212650,Ladrão,2Qz6gIPZbP5rNiITj2aFjl,Djonga,204IwDdaHE4ymGk9Kya2pY,0.342,0.548,0,0.128,11,0.545,-6.0,0.0835,0.0,0.498,87.17
Clichê,4eK0Z2KoqIvsyg0gbuZOvg,62,161819,Day,1H9uCuBYQzu2n5j0i728YF,DAY,1x1qM3ZqHhJOn11m42svnc,0.194,0.682,0,0.312,7,0.762,-9.174,0.203,0.0,0.42,119.959
