,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
158,0.872,0.657,0.291,4RCWB3V8V0dignt99LZ8vH,0.0,2,0.114,-10.572,1,0.0293,103.973,0.298
159,0.000221,0.292,0.933,5johpJIVjqU2Ki03DOA7Jr,9.86e-06,9,0.473,-4.371,1,0.064,202.012,0.296
160,0.0737,0.566,0.815,5cY8y2XgOfkAh4kSWLFKkz,0.0,9,0.12,-4.481,0,0.14,169.961,0.672
161,0.00375,0.513,0.823,6A9nyMBdNUzVcFHZUEZ71F,1.72e-05,1,0.12,-3.651,1,0.0347,96.816,0.502
162,0.00328,0.635,0.435,4YPhn26bIFm2KUkL1VLzQG,6.78e-06,3,0.071,-7.521,1,0.031,76.098,0.459
163,0.127,0.597,0.931,0DKNNR9iDjwfCEpMiFXMJq,0.0,11,0.0504,-4.591,0,0.0984,92.003,0.534
164,0.0014,0.473,0.904,6hFPg7k3ZkDMNj5KNUtsv9,0.0,11,0.156,-7.312,0,0.113,133.999,0.529
165,0.0416,0.486,0.742,3XcrecnnUelD8HL6Qpukox,0.00295,11,0.186,-7.406,0,0.0637,108.335,0.181
166,2.67e-05,0.3,0.957,1KdeXVG6x4MsjbAnjiAzbT,1.58e-05,4,0.266,-5.993,1,0.112,76.256,0.352
167,0.000264,0.42,0.936,3EVgZBKWXY6xOtS8mrhW1C,0.175,11,0.101,-4.31,1,0.0433,153.955,0.711
168,0.000705,0.282,0.866,0Zbm5CKG9HHT9bwgvFc0qI,0.0055,10,0.101,-4.223,0,0.0588,163.987,0.277
169,0.00682,0.457,0.83,1ibeKVCiXORhvUpMmtsQWq,0.00337,5,0.166,-5.262,1,0.0321,99.93,0.602
170,0.00553,0.594,0.934,3sUEeth7ZseYS1N7TlZl5q,0.0,11,0.134,-5.371,1,0.0964,146.25,0.486
171,0.023,0.546,0.814,3ZffCQKLFLUvYM59XKLbVm,0.0,7,0.0972,-5.146,1,0.0314,104.98,0.146
172,8e-05,0.477,0.907,0gZp88SA5OcujHLDGkxtI3,7.82e-05,1,0.149,-4.814,0,0.0899,81.291,0.304
173,0.0014,0.309,0.912,0lP4HYLmvowOKdsQ7CVkuq,0.000271,4,0.582,-3.881,0,0.0646,183.035,0.302
174,0.00123,0.657,0.781,6rFKHZniKTOhcYnw5T55Bw,5.56e-06,11,0.0841,-6.618,1,0.0341,110.02,0.673
175,0.0461,0.693,0.619,5z0JPdPkqXWxGDT8jypnQm,0.00661,3,0.179,-3.765,1,0.0332,123.198,0.716
176,0.0141,0.552,0.793,6CgEKcSt54X6M4bmYgz7IN,0.0,9,0.211,-5.612,0,0.0329,100.0,0.55
177,0.0331,0.452,0.951,6Iqjee4nDxCymZdFCYfIPf,2.72e-06,8,0.339,-2.383,1,0.0617,170.052,0.438
178,0.00214,0.219,0.93,4Jk6ZV8QsuWNLVzjX8VeE6,0.0,11,0.138,-3.348,1,0.114,123.511,0.32
179,0.000654,0.457,0.882,5colqK4X2utxb1opX2TF0b,0.0,2,0.332,-4.92,0,0.0529,92.096,0.281
