,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
100,6.33e-05,0.476,0.918,0CZzGkFbnsjabiXSvjYtRy,0.0888,7,0.115,-4.482,1,0.0606,128.044,0.417
101,0.000256,0.486,0.862,3KFcKLDTG0KuWw3CCAdFFR,0.000356,6,0.0714,-3.929,0,0.0426,130.031,0.49
102,0.00347,0.597,0.782,1i0mSYHUV4CjPCOXJYEock,2.1e-05,0,0.0964,-4.573,1,0.0356,89.996,0.737
103,0.00127,0.156,0.858,5Ww10evK5ciz7eqbf1lRf1,0.0229,8,0.242,-4.184,0,0.0766,159.523,0.407
104,0.00152,0.547,0.739,27cMZ0yASZTMe2TGfYnxo6,0.00139,5,0.043,-7.117,0,0.0559,149.78,0.71
105,0.000699,0.315,0.916,2o3Hhy3lkn5nbD1TqrFv74,1.89e-05,0,0.448,-6.084,1,0.0742,182.185,0.361
106,0.00929,0.343,0.752,1In3hDm8Aqvz1YPqXuXDfe,0.000232,6,0.111,-5.036,1,0.0394,114.099,0.266
107,0.0898,0.456,0.579,4JtUz0ZcInSokkKBalijhd,2.48e-06,0,0.0992,-5.665,1,0.0311,147.28,0.164
108,3.29e-06,0.465,0.883,7DoMGZLVzga3vhyZlb0hBX,0.506,2,0.101,-4.259,0,0.0297,140.047,0.644
109,0.000153,0.373,0.938,5xn1j6DBs769Kn3BvGQWDA,0.0,8,0.153,-4.084,1,0.0419,163.036,0.43
110,0.000569,0.607,0.743,7lSqt09mk5hlzVWLzYIuWI,1.05e-05,2,0.201,-4.984,1,0.0376,127.942,0.752
111,0.00436,0.506,0.655,64ojb7llTMzvdkHdbIpq3y,5.52e-06,2,0.105,-7.522,1,0.0373,168.941,0.121
112,0.000603,0.448,0.952,5UwGMbEKlvXFj7DXI1d0P1,0.00145,10,0.109,-3.477,1,0.0803,152.958,0.489
113,0.000361,0.476,0.99,6ZfTIN0gmZft7Ewe9gjOyR,3.25e-06,6,0.409,-2.24,1,0.133,130.97,0.406
114,0.0057,0.51,0.972,1pnAbf5JCQnwwgSuRoJXqS,0.0,7,0.119,-2.801,0,0.0506,112.02,0.258
115,0.0125,0.303,0.41,7cy0jJnaxO95jkLMrBbjTR,0.0,1,0.0614,-9.804,1,0.0352,113.9,0.264
116,0.00203,0.508,0.926,7pp7yIiPMv2q58BufR99gw,0.0,10,0.127,-4.398,0,0.0953,120.02,0.172
117,6.95e-06,0.325,0.963,5IuCu52RpPsqtUmoDpkWd5,0.0093,5,0.372,-4.282,1,0.0512,183.133,0.272
118,7.04e-06,0.343,0.972,7wYjgczy3Qute7gcOGCsZA,0.288,9,0.48,-7.438,1,0.0871,160.036,0.192
119,0.00103,0.454,0.977,4d3rr18dYHMyAh33rt3Yay,0.00119,3,0.376,-4.248,1,0.0686,157.078,0.765
120,0.00664,0.491,0.909,4wvluXmhYjtYkcqKCfRMEW,2.2e-05,7,0.0877,-6.395,0,0.0388,109.98,0.145
121,0.0485,0.455,0.936,52qJVV29G6n6mbqavdCwpt,0.00777,0,0.193,-7.287,1,0.076,136.034,0.223
122,0.0093,0.655,0.8,1flvBSd9z3UZzqAFWPXeBl,4.19e-05,11,0.158,-6.188,0,0.0277,120.012,0.628
123,0.0428,0.703,0.668,6TL3MOcVW8i1UiJkvhpDbR,0.000408,4,0.0963,-7.746,1,0.0289,120.005,0.659
124,0.000484,0.599,0.976,2u1hn1je3YMHFFNuY5qw7z,2.03e-05,8,0.105,-3.139,0,0.0852,120.99,0.404
125,0.00098,0.516,0.891,64CnTtnHEqh2A6pD7u8Cq4,3.75e-05,1,0.0964,-4.508,0,0.0304,138.02,0.383
126,0.00171,0.359,0.878,5dcWa1boeP7ZlrkgItTbJb,0.0,6,0.0686,-3.497,1,0.0653,132.052,0.521
127,0.0435,0.654,0.757,372NdR6AW2FBVF49gEsfST,0.0,5,0.18,-7.167,1,0.0436,120.003,0.698
128,0.000537,0.426,0.981,05NRKMTDuXA5ehLLe0wtL0,0.0,10,0.357,-2.749,1,0.162,150.052,0.0983
129,0.186,0.656,0.628,2X1HNV2ql1BfMBZiO3WnFN,0.0314,9,0.12,-10.197,0,0.0581,126.013,0.0841
130,0.000139,0.535,0.94,2eNUL3p4kzslYr1408h6tB,0.000118,1,0.0906,-5.426,1,0.0366,97.498,0.171
131,0.000238,0.278,0.986,4tKctEHsnF6EuQUeJDq1Ip,9.86e-05,1,0.384,-2.403,1,0.228,100.056,0.201
132,0.0128,0.735,0.723,20n9GjrKJBmN7nMEb21cxc,0.0,9,0.0539,-6.032,0,0.0725,119.938,0.533
133,0.000115,0.487,0.981,6odjrjJHbStRULn1rV3L02,2.65e-06,1,0.05,-3.076,0,0.18,117.477,0.208
134,4.18e-05,0.359,0.888,4nd5S2n1jr6uW8C7WQ2jDO,0.0018,6,0.0908,-4.876,0,0.0478,111.168,0.426
135,0.00191,0.508,0.888,2lnki2JLvGHbUgdica1Y45,0.0,7,0.138,-4.004,1,0.0536,97.541,0.274
136,5.28e-05,0.723,0.734,6rueliObrLVEJFuex78zbF,0.754,1,0.0794,-7.193,0,0.0547,123.0,0.216
137,0.0331,0.766,0.637,0STwds3eyd0jKX3Dvvj5nP,0.00261,10,0.146,-6.249,1,0.0297,112.036,0.613
138,0.411,0.309,0.479,1CobuGL6ysSrfCE2tWcfFU,0.0,4,0.225,-5.956,1,0.0359,159.77,0.129
139,0.0138,0.589,0.983,2l8w820sB8uOrrWwyNlzaZ,2.01e-06,11,0.0876,-4.023,0,0.135,106.054,0.0996
140,0.0455,0.439,0.709,4FWD0QBBuEntuaeI5G1YZe,0.0,4,0.147,-5.441,0,0.0348,143.429,0.553
141,0.15,0.523,0.565,6ETZ5Dc5UttHtYKqVrWCfP,2.5e-06,8,0.0976,-7.11,1,0.0243,170.077,0.583
142,5.84e-06,0.332,0.972,5XEEnofOt24PVfwncoZBTy,0.141,8,0.365,-5.258,1,0.198,200.153,0.122
143,0.853,0.66,0.502,6k3RlECgCK9iLrwGkbIXfd,0.0,8,0.41,-7.496,1,0.0266,111.952,0.505
144,0.000188,0.419,0.918,69yhjLCSYwzcNDboUaq8VZ,0.0,1,0.287,-5.399,1,0.0719,162.993,0.491
145,1.02e-05,0.537,0.989,05ArV4Uua4VQAjd0dHkFLy,0.00472,7,0.384,-1.788,1,0.0642,109.987,0.471
146,0.000213,0.469,0.851,56k2ztFw7hQRzDeoe80pJo,7.86e-06,10,0.154,-4.147,1,0.0547,130.053,0.549
147,0.000235,0.466,0.9,2HZLXBOnaSRhXStMLrq9fD,0.00104,11,0.103,-4.469,1,0.0447,130.02,0.561
148,0.0152,0.551,0.983,3iGLuWTxa6NSDCutqPFGgY,1.08e-06,0,0.205,-3.624,1,0.0426,103.029,0.858
149,0.126,0.695,0.922,2UDeohFStEDL4GAXm2Eqpn,0.0,7,0.0917,-5.783,1,0.0485,105.045,0.612
150,0.000183,0.492,0.837,4foHD7XOgTC1Euem1n7asg,0.0583,6,0.16,-7.616,1,0.0371,127.0,0.224
151,0.000264,0.226,0.958,06apPfP80VJUjAsjIZRXOH,0.00824,1,0.2,-6.018,1,0.169,169.979,0.359
152,0.000725,0.345,0.89,6E5gsJm3t0RqmiHBfUBaya,2.98e-06,1,0.204,-4.175,0,0.0774,137.973,0.276
153,0.00121,0.574,0.865,4zB544yCIaSw3cuHltMCRJ,2.92e-06,8,0.108,-4.028,1,0.041,119.068,0.669
154,0.00362,0.535,0.925,3Fm4KEBiLmj4e3x4Qqv7W0,0.000261,2,0.0243,-3.014,1,0.235,169.872,0.936
155,0.000138,0.462,0.912,4r59yc67nric1MZQ2igkhx,0.0,11,0.0357,-4.07,0,0.226,163.937,0.722
156,0.00814,0.645,0.788,0Tiuk98e6RvWikzeMarqzz,1.25e-05,1,0.116,-5.093,1,0.0279,123.952,0.315
157,0.00338,0.477,0.914,7JIPOqjBPfbQZH83lbfrvo,0.000316,5,0.067,-4.477,0,0.0763,77.526,0.601
158,2.6e-05,0.495,0.894,0BehgTVviIL9wB4YVXMmki,6.86e-05,10,0.132,-4.518,0,0.0502,93.006,0.887
159,2.1e-05,0.491,0.844,3QS0rehIG3VLqLCcVb5Q28,0.0,1,0.273,-7.201,1,0.0373,145.015,0.52
160,0.0153,0.541,0.913,2MxGITlzHYtLgelSmqnIMy,0.0,9,0.177,-3.755,1,0.0668,149.988,0.473
161,1.52e-05,0.367,0.943,4q5EtnzFDTyhyAYzRBHUNe,0.153,10,0.273,-4.245,0,0.0804,198.036,0.185
162,5.09e-06,0.395,0.982,4jxOQS1XzgpcIuWjPQGwnu,0.0203,1,0.115,-4.652,1,0.0483,169.945,0.743
163,0.0228,0.418,0.817,4Ql4g0hfXEjuPFBnC3tKA0,0.221,7,0.115,-7.362,1,0.0481,82.447,0.335
164,0.000583,0.495,0.943,7nlXCWovda95ELuN1Tzki0,0.021,7,0.37,-6.165,1,0.136,121.217,0.327
165,0.0125,0.479,0.762,3umy4hWddM8mb2iDlpA1zx,0.000508,11,0.372,-6.772,0,0.0639,125.349,0.537
