id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
0hzBN7DGgtjBsTyZwTTKRS,0.0268,0.569,0,0.156,11,0.557,-5.743,0.019,0.187,0.586,104.636
6DnfupwdspmFT2PYRjFH2F,0.0365,0.374,1,0.105,0,0.59,-6.034,0.00367,0.0185,0.808,125.669
5S7kFUo496CoItemffWQb9,0.0423,0.452,0,0.218,4,0.556,-5.792,0.0054,0,0.702,132.33
2ONpXycQzFmWiutUm7vpIC,0.0391,0.297,1,0.577,2,0.594,-6.007,0.00992,0.000447,0.814,152.936
5HgAZuHFAU5qLLMYuIQkgq,0.0473,0.632,0,0.221,2,0.511,-5.445,0.03,0.00752,0.766,79.963
5LCuFER5mMzL0fGNpClksf,0.0291,0.617,1,0.141,2,0.757,-5.908,0.00191,5.77e-05,0.661,111.64
1S8PKtVKvJWwOwfQpQxzWV,0.0357,0.544,1,0.44,5,0.503,-5.672,0.000314,0.574,0.741,120.998
1PXsUXSM3LF2XNSkmIldPb,0.0418,0.487,1,0.106,2,0.365,-7.514,0.161,6.68e-06,0.466,95.163
5lN1EH25gdiqT1SFALMAq1,0.0475,0.565,1,0.069,0,0.505,-4.632,0.00772,7.9e-05,0.833,130.121
5G1sTBGbZT5o4PNRc75RKI,0.068,0.607,1,0.0997,2,0.356,-7.837,0.00417,0.00975,0.872,166.3
3dOAXUx7I1qnzWzxdnsyB8,0.068,0.607,1,0.0997,2,0.356,-7.837,0.00417,0.00975,0.872,166.3
6Sl4vxgAjIY8pVTa5idAx1,0.0329,0.679,0,0.698,6,0.52,-4.765,0.0468,0,0.785,96.996
1o9PZA6tQiQxAKpx8BFdxQ,0.361,0.0734,1,0.583,2,0.286,-3.145,1.75e-05,0.000141,0.998,194.992
1SsDbcjGHregkNfEjogXpm,0.0466,0.433,0,0.43,11,0.692,-6.061,0.0131,6.51e-05,0.828,114.981
2slJbiEt7T2QlmyCvfy481,0.0312,0.283,0,0.0551,0,0.56,-7.953,0.0583,0.0614,0.645,90.181
7M6LcwEgpNLfmUQI0mpZ75,0.0343,0.44,1,0.27,9,0.613,-7.468,0.00681,0.000152,0.761,105.274
5wx5aqVGgv1jWLoGFKFdWM,0.0814,0.123,1,0.0914,0,0.237,-6.893,0.0257,2.31e-05,0.919,101.758
0vfvmVyAyN2rqKUEwCNlX6,0.0737,0.753,1,0.146,9,0.524,-3.783,0.148,0.341,0.906,134.866
6JvfBzqZmSiEG5MjM7OcSY,0.336,0.661,1,0.109,1,0.637,-6.927,0.713,0.000113,0.503,81.061
0UVfZ1QfaSPqRHhmZNVI71,0.229,0.655,1,0.105,6,0.722,-10.018,0.525,0.000494,0.519,95.014
