id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
1BWsQm7kOBjK2aSFYg5HQZ,0.074,0.228,0,0.701,4,0.426,-9.125,0.0642,0.765,0.754,167.42
49KJglv5FCTF9FYf8zJd3o,0.0633,0.869,1,0.265,5,0.591,-4.673,0.396,0.586,0.767,107.578
01gDLZsi0j5fWC28FLPNO8,0.0651,0.876,0,0.101,11,0.584,-6.534,0.141,0.501,0.975,138.341
7zEoae6QGC00PQodm9WId8,0.0651,0.362,1,0.0532,1,0.473,-3.419,0.099,0.0653,0.588,102.978
4l9hml2UCnxoNI3yCdL1BW,0.0382,0.277,0,0.109,0,0.438,-26.44,0.941,0.00643,0.00756,133.32
41fiRrzEqGo4pTVqXYrfnz,0.091,0.3,0,0.701,5,0.476,-9.451,0.0653,0.178,0.719,149.902
2A8jNnjXdIVZL7ishxTFaZ,0.109,0.72,0,0.319,10,0.601,-4.142,0.424,0.023,0.733,100.292
6v17POwEhOOqNuhV45CGPT,0.121,0.622,1,0.309,1,0.568,-5.66,0.216,0.287,0.681,93.947
0F845nujLVqCb0XMZCh5Pc,0.0406,0.292,0,0.0946,0,0.532,-19.136,0.94,0.00488,0.0657,128.607
3oD3ifhUOGAk8UgGo1dVwZ,0.0536,0.724,1,0.0898,0,0.469,-10.471,0.592,0.109,0.535,107.133
1YQWosTIljIvxAgHWTp7KP,0.0401,0.598,0,0.0675,8,0.454,-13.193,0.539,0.00078,0.26,174.322
0aWMVrwxPNYkKmFthzmpRi,0.0374,0.16,0,0.0978,2,0.421,-25.358,0.81,0.0021,0.0161,110.926
0iJeENttrA8iKssJMIbXkK,0.045,0.389,0,0.668,5,0.412,-10.754,0.131,0.896,0.49,95.001
49wGUI3kMeuHv0DhkgKlqt,0.0543,0.36,0,0.691,6,0.534,-8.948,0.0219,0.51,0.639,128.614
2Jim49nxjnjcTdyCJO4mr6,0.085,0.48,1,0.7,8,0.501,-9.7,0.0176,0.821,0.772,134.912
6OWVC6TXnczAnMmdu3JL7d,0.0372,0.306,0,0.156,5,0.369,-7.124,0.2,0,0.491,142.519
3VLdNTLmKpXu79TMCeRbLO,0.0289,0.168,1,0.118,6,0.537,-11.028,0.795,0.000146,0.279,104.403
5aagC9VbZrcwYUZDhgC8Ej,0.248,0.682,1,0.137,1,0.645,-4.912,0.106,5.38e-05,0.821,79.986
5pQBbNsXy9lUvskwfwq57u,0.0289,0.302,0,0.0606,11,0.468,-5.483,0.187,0,0.459,137.566
6YB9FPMp66TtLW9eDHcujI,0.0553,0.454,0,0.136,1,0.418,-6.395,0.171,0.0115,0.586,176.426
7dJVC2wjFU2xZlH5jwWWkQ,0.0382,0.0372,0,0.085,2,0.336,-17.945,0.979,9.44e-05,0.0259,87.072
4kRGpTEcDdZTAbc645OL2U,0.0321,0.296,0,0.112,11,0.64,-10.848,0.895,0.000585,0.33,80.706
20fLC33a0WZKS6nSAv92yy,0.0548,0.55,1,0.133,7,0.404,-6.861,0.907,0.205,0.584,173.078
0Zf5BJahvBQ6yLoCR6fPko,0.0331,0.643,1,0.325,8,0.441,-6.544,0.0533,0.000328,0.828,143.395
2iXdwVdzA0KrI2Q0iZNJbX,0.0522,0.659,1,0.108,5,0.871,-9.481,0.298,9.24e-06,0.346,110.049
1dnXuEuApvuVqQCn0v9McL,0.0264,0.556,1,0.104,0,0.766,-7.25,0.227,1.5e-05,0.547,105.01
0BgbobvykXxEvxo2HhCuvM,0.116,0.632,1,0.0931,7,0.814,-8.017,0.602,1.75e-05,0.373,114.55
2B98ljvzqpCVgt5reTHq28,0.0387,0.267,1,0.0791,2,0.445,-7.937,0.165,1.56e-05,0.671,125.712
3pLTOP0G0etiWUknFoRpsr,0.0406,0.337,1,0.093,4,0.576,-9.364,0.0606,0.000143,0.486,141.951
2m2dgHoAEZUkmxamsOwyQg,0.0288,0.283,1,0.0827,0,0.473,-11.1,0.721,7.42e-05,0.348,107.819
4oW5GocSTgcpbihQbQGX8D,0.0336,0.831,1,0.0897,7,0.688,-11.649,0.763,8.56e-06,0.454,129.975
3RKHTaha0FPoaOfpMXpQkJ,0.038,0.58,1,0.108,2,0.532,-16.841,0.886,0,0.154,134.066
4slAb4LDW7puHxO1SxBAtW,0.0385,0.688,1,0.0705,4,0.53,-9.719,0.767,0.000135,0.761,86.557
43JngJ3vMsaTL8SiRwEYQp,0.0292,0.736,0,0.231,2,0.735,-6.329,0.0477,0.00023,0.578,111.99
7BHPGtpuuWWsvE7cCaMuEU,0.0892,0.737,0,0.149,8,0.391,-6.209,0.0759,0,0.808,100.304
6ZygaqgtPkiahkiYJhYWhn,0.0411,0.325,0,0.124,10,0.629,-8.542,0.705,0,0.422,129.456
