uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:69bp2EbF7Q2rqc5N3ylezZ,0.045,0.41,0,0.299,0,0.654,-3.669,0.0797,0,0.76,99.945
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.0824,0.928,1,0.0344,0,0.856,-7.223,0.00801,8.15e-05,0.609,114.988
spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.112,0.583,1,0.0388,2,0.894,-4.699,0.0183,0,0.791,105.018
spotify:track:6JV2JOEocMgcZxYSZelKcc,0.0749,0.701,1,0.191,0,0.667,-5.715,0.0123,0,0.83,113.03
spotify:track:0CAfXk7DXMnon4gLudAp7J,0.0791,0.304,0,0.139,10,0.918,-5.64,0.0928,0,0.609,128.008
spotify:track:4tCtwWceOPWzenK2HAIJSb,0.0432,0.593,1,0.0644,8,0.803,-5.861,0.103,3.94e-06,0.585,105.017
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.0665,0.965,0,0.175,4,0.728,-2.261,0.103,0.000532,0.974,79.526
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,0.0675,0.483,0,0.0679,10,0.454,-4.526,0.00124,0.000181,0.708,192.18
spotify:track:2meEiZKWkiN28gITzFwQo5,0.0999,0.384,1,0.154,9,0.636,-5.871,0.0153,1.46e-06,0.728,107.986
spotify:track:32lmL4vQAAotg6MrJnhlQZ,0.0953,0.527,1,0.0928,11,0.667,-6.294,0.0644,0,0.538,91.296
spotify:track:7zsXy7vlHdItvUSH8EwQss,0.0534,0.492,0,0.187,6,0.602,-5.084,0.055,0,0.797,92.928
spotify:track:4RY96Asd9IefaL3X4LOLZ8,0.373,0.808,0,0.0753,6,0.865,-2.813,0.283,0,0.73,90.096
spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.172,0.422,1,0.136,11,0.532,-5.094,0.157,0.00508,0.869,159.803
spotify:track:7zrYKlgYQv1ELz7LGyjTd1,0.0886,0.733,0,0.377,0,0.708,-4.401,0.267,0,0.752,150.058
spotify:track:5YEOzOojehCqxGQCcQiyR4,0.458,0.259,0,0.366,10,0.576,-5.035,0.0231,0,0.777,145.2
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.0712,0.756,0,0.405,10,0.778,-5.892,0.284,0,0.824,100.024
spotify:track:3kfxarilcBr81mb2hmZLeh,0.244,0.296,0,0.0825,5,0.671,-8.091,0.11,0,0.314,110.898
spotify:track:5OMwQFBcte0aWFJFqrr5oj,0.116,0.735,0,0.291,2,0.755,-2.741,0.0746,1.27e-06,0.832,120.032
spotify:track:6RcQOut9fWL6FSqeIr5M1r,0.0887,0.915,0,0.0289,10,0.92,-2.072,0.38,2.71e-06,0.918,110.02
spotify:track:4vp2J1l5RD4gMZwGFLfRAu,0.0264,0.6,1,0.34,0,0.741,-6.299,0.0823,0,0.748,127.965
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,0.0324,0.891,1,0.162,11,0.768,-6.145,0.101,0,0.864,110.008
spotify:track:5uImkHXfTLkNYwemtGH7kB,0.0383,0.6,1,0.108,1,0.734,-4.485,0.025,0.00138,0.766,127.986
spotify:track:42ftjU4cTN5UTRksyqBKZJ,0.0514,0.881,0,0.053,4,0.771,-5.459,0.147,0,0.76,119.0
spotify:track:717TY4sfgKQm4kFbYQIzgo,0.121,0.923,0,0.241,5,0.774,-3.925,0.0279,0.0183,0.847,143.011
spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,0.143,0.76,1,0.372,0,0.733,-4.237,0.00496,4.72e-05,0.899,127.086
spotify:track:1gZ7i4qxXkHZb1r6eioaAP,0.0888,0.582,1,0.0992,1,0.879,-3.709,0.00603,1.42e-06,0.643,120.012
spotify:track:3E5XrOtqMAs7p2wKhwgOjf,0.0334,0.679,0,0.19,1,0.818,-4.474,0.0335,4.95e-05,0.732,119.002
spotify:track:1D066zixBwqFYqBhKgdPzp,0.337,0.785,0,0.111,8,0.904,-7.651,0.0568,0,0.598,129.055
spotify:track:1y4eb6hmAvsqlDOl3fx9kk,0.0418,0.861,1,0.0688,7,0.706,-3.956,7.95e-05,0,0.841,132.032
spotify:track:5HbCnVLXRyZVxnreOPgJCK,0.102,0.67,1,0.209,7,0.56,-2.433,0.000738,0.000206,0.959,163.983
spotify:track:3OT3Kg4jyVkdZm4Ncz6JgX,0.0714,0.794,0,0.114,8,0.848,-4.557,0.136,1.35e-06,0.828,119.0
spotify:track:0iYebKFUSfF72fUu2OW6ZT,0.185,0.653,1,0.585,11,0.727,-4.288,0.282,3.87e-06,0.866,127.01
spotify:track:4TsmezEQVSZNNPv5RJ65Ov,0.201,0.462,1,0.0944,7,0.768,-8.32,0.000228,0.000571,0.641,98.974
spotify:track:0ByMNEPAPpOR5H69DVrTNy,0.0715,0.551,0,0.0514,6,0.853,-5.533,0.0446,3.37e-05,0.676,122.65
spotify:track:0dQQWHlXvuw4UyHcAvhfhB,0.0514,0.353,0,0.38,11,0.675,-5.682,0.00164,0,0.693,118.423
spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,0.482,0.727,0,0.0883,7,0.352,-7.983,0.00738,0,0.843,165.29
