album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Creed II: The Album,7kSa9AwcDQ6ZUScaXxp8zP,Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,131674,23dwrzeJtEEGl2U4CPWSor,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",68,0.17,0.545,0.975,0.0,10,0.145,-3.193,0,0.454,123.906,0.609
NOT ALL HEROES WEAR CAPES,1zNr37qd3iZJ899byrTkcj,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,166093,2mYDDUkBcgFNBqkWctyyuc,Overdue (with Travis Scott),4,0.733,0.638,0.4,0.000133,11,0.334,-11.212,0,0.0425,150.133,0.495
NOT ALL HEROES WEAR CAPES,1zNr37qd3iZJ899byrTkcj,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,168346,1m6lqaLvUTxPjOo98fJH8U,Don't Come Out The House (with 21 Savage),4,0.00661,0.87,0.35,0.000483,1,0.108,-6.082,1,0.277,74.963,0.175
ASTROWORLD,41GuZcammIkupMPKH2OJ6I,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,312820,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,90,0.00513,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,0.446
Red Room,3lxvJqSvGR9o3Z402FnY0Z,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,241440,2MJdgSby3DtSS7bUJx2cly,Red Room,70,0.479,0.936,0.559,0.0,7,0.129,-8.591,0,0.158,112.339,0.517
Make Love,7nAyCjDuakxNNpYEajeG9A,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,302057,2KlDzyTJVmOlH1sVTuPcSF,Make Love,48,0.00529,0.971,0.548,0.00155,11,0.11,-6.82,1,0.154,129.994,0.183
Dip (feat. Nicki Minaj),32EKwnBISVjObigwvsBzcL,Tyga,5LHRHt1k9lMyONurDHEdrp,195991,4hXDobvUaXyDFLnmecoY0z,Dip (feat. Nicki Minaj),73,0.0311,0.885,0.543,0.0,2,0.154,-6.338,1,0.2,99.026,0.43
Queen,2acDkDTWdNFie1HjcFa4Ny,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,199400,19Fcrc0nJiwMKom00gS9SW,Good Form,67,0.113,0.88,0.775,0.00264,7,0.0943,-5.133,1,0.0952,96.507,0.284
Bodak Yellow,1wpgafbHuQfSUmCWvahFlq,Cardi B,4kYSro6naA4h99UJvo89HB,223962,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,71,0.0672,0.929,0.723,0.0,11,0.346,-5.792,0,0.109,125.022,0.458
Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,Cardi B,4kYSro6naA4h99UJvo89HB,224284,0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),73,0.00111,0.908,0.524,0.000678,1,0.383,-7.955,1,0.181,138.015,0.109
